Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Open Access,Source,EID
Okuno H.; Satoh H.; Iitake C.; Hosokawa S.; Oishi K.; Kikkawa T.,"Okuno, Hideo (57202160270); Satoh, Hiroshi (59038574800); Iitake, Chie (57492302800); Hosokawa, Shinichi (36061132400); Oishi, Kazunori (7202376038); Kikkawa, Toshiko (55582309700)",57202160270; 59038574800; 57492302800; 36061132400; 7202376038; 55582309700,Effects of message order and active participation on vaccine risk communication,2021,Pediatrics International,63,11,,1363,1368,5,1,10.1111/ped.14662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115947535&doi=10.1111%2fped.14662&partnerID=40&md5=d1fc8ea2fff8b96df006646452d6c98f,"Background: “Message order” and “active participation” could be effective as risk communication methods. “Anticipated regret” (AR) has also been recognized as affecting risk perception and vaccine uptake in vaccination risk communication. We aimed to evaluate the effects of message order and active participation and the interactions between these two interventions on AR for vaccination. Methods: We conducted a 2 (message order: positive-negative or negative-positive) × 2 (message calendar: with or without planning) factorial design study among 81 study participants. The effects of message order and active participation of mothers, using a message calendar, were evaluated on mothers’ decision-making regarding vaccination with Haemophilus influenzae type b vaccine and pneumococcal conjugate vaccine for their children. Participants completed questionnaires to evaluate the AR of infection if unvaccinated (anticipated regret of inaction) and of side effects if vaccinated (anticipated regret of action, ARA) twice: immediately after interventions and 1 month later. Results: An interaction between message order and active participation was significant with regard to anticipated regret of inaction immediately after interventions (P = 0.01), but this effect disappeared 1 month after interventions. The message order showed no main effect with regard to ARA. However, the main effect of active participation was marginally significant with regard to ARA 1 month after intervention (P = 0.09); AR over vaccine side effects was lower when vaccination was planned than in the condition without planning. Conclusions: The effect of message order was hardly detectable in a clinical setting. However, active participation induced by planning may affect AR. Further studies are needed to evaluate the effect of active participation in decision-making for vaccination. © 2021 Japan Pediatric Society",active participation; anticipated regret; message order; risk communication; vaccination,Child; Communication; Emotions; Humans; Intention; Vaccination; Vaccines; Haemophilus influenzae type b vaccine; Pneumococcus vaccine; vaccine; active participation; adult; anticipated regret for action; anticipated regret for inaction; anticipation; Article; attitude to health; child; controlled study; decision making; drug induced disease; factorial design; female; Haemophilus infection; human; major clinical study; maternal attitude; medical information; message order; pneumococcal infection; questionnaire; randomized controlled trial; risk perception; vaccination; vaccine risk communication; behavior; emotion; interpersonal communication; vaccination,"Japan Agency for Medical Research and Development, AMED, (JP15fk0108002h0101); Japan Agency for Medical Research and Development, AMED",Article,Final,,Scopus,2-s2.0-85115947535
Emroozi V.B.; Modares A.; Roozkhosh P.,"Emroozi, Vahideh Bafandegan (58176292400); Modares, Azam (57752811300); Roozkhosh, Pardis (57780960200)",58176292400; 57752811300; 57780960200,Presenting an efficient scenario to deal with the prevalence of COVID-19 disease using a system dynamics approach in Iran,2022,International Journal of Simulation and Process Modelling,19,03-Apr,,122,137,15,3,10.1504/ijspm.2022.131555,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163991916&doi=10.1504%2fijspm.2022.131555&partnerID=40&md5=efd0403b336b6929372f2a1cc88fdde2,"The COVID-19 disease has adversely affected all countries in the world, due to its impact on public health and the lack of a basic solution. In this study, a model of the disease status in Iran is presented using system dynamics (SD). Even though static models that leverage mathematical programming and analytical models have been widely studied, simulation methods in the anticipation policies to deal with infectious diseases are scarce despite their potential. To this end, SD modelling is suitable to account for the dynamic and complexity of systems and supporting strategic decision-making. In this study, the SD method is used to model the behaviour of variables such as the number of patients, population of deaths, recovered population, susceptible population, social distance, observance of health issues, and so on. Finally, to prevent comprehensive outbreak, three different scenarios are proposed, and the effect of the scenarios on the problem variables in dealing with this disease is investigated. © 2022 Inderscience Enterprises Ltd.",comprehensive outbreak; COVID-19; epidemic; health system; Iran; simulation; system dynamics; vaccination,Decision making; Mathematical programming; System theory; Basic solutions; Comprehensive outbreak; Epidemic; Health systems; Iran; Simulation; Static modelling; System Dynamics; System dynamics approach; Vaccination; COVID-19,,Article,Final,,Scopus,2-s2.0-85163991916
Kitsing M.,"Kitsing, Meelis (54882404700)",54882404700,Geopolitical risk and uncertainty: how transnational corporations can use scenario planning for strategic resilience,2022,Transnational Corporations Review,14,4,,339,352,13,3,10.1080/19186444.2022.2145865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142628651&doi=10.1080%2f19186444.2022.2145865&partnerID=40&md5=2efe0ded07f99a7e0eb5d01042f81c67,"This article shows conceptually how scenario planning method can be used in corporate strategy-making by considering both risks and uncertainties. Risk assessments can be used as foundation for trends shaping transnational corporations which form basic assumptions for scenarios. Uncertainties are key drivers of geopolitical developments in which combination alternative scenarios emerge. Various geopolitical scenarios developed by different foresight teams and ranging from direct war to conditional cooperation are outlined in the article. Most importantly, implications of these scenarios are explored for transnational corporations with particular focus on improving strategic resilience. © 2022 Denfar Transnational Development INC.",futures; Geopolitical risk; scenario planning; strategic resilience; strategy; uncertainty,,,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85142628651
Valizadeh N.; Karimi V.; Fooladi Heleileh B.; Hayati D.; Bijani M.,"Valizadeh, Naser (57194451294); Karimi, Vahid (57210843839); Fooladi Heleileh, Batool (57226136770); Hayati, Dariush (17233628400); Bijani, Masoud (54381389000)",57194451294; 57210843839; 57226136770; 17233628400; 54381389000,Formulating of small-scale farmers' perception towards climate change in arid areas: Facilitating social interventions for agricultural sustainability,2022,Water and Environment Journal,36,2,,199,213,14,18,10.1111/wej.12741,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110587589&doi=10.1111%2fwej.12741&partnerID=40&md5=1081ede3ee1e0e545c96dd956284563f,"This study has been done with the aim of developing and validating a perceptual scale for small-scale farmers in arid regions and also redirecting interventions towards sustainability; it was conducted in the two qualitative and quantitative phases. In the scale validation process, principal component analysis was employed to identify the latent dimensions of farmers' perceptions of climate change. The results showed that the scale of farmers' perceptions of climate change has five latent dimensions including “awareness and knowledge,” “ascription of responsibility,” “forgetfulness and optimism about the future,” “perceived risk,” and “human agency.” The results of model validation revealed that all fitness indices are at a suitable level, and this scale might be used by climate change social interventions for sustaining agricultural activities, in water-scarce areas. Given that forgetfulness and optimism are due to the weakness of farmers' episodic memory, it was recommended that climate change social interventions be focused on improving episodic memory using episodic future thinking. © 2021 CIWEM.",agricultural sustainability; climate change; perceptual scale; principal component analysis,Agricultural robots; Agriculture; Arid regions; Climate models; Risk perception; Sustainable development; water; Agricultural activities; Agricultural sustainability; Episodic memory; Farmers' perceptions; Model validation; Perceived risk; Scale validation; Small scale farmers; alternative agriculture; arid region; climate change; model validation; perception; agricultural worker; Article; awareness; climate change; episodic memory; fitness; human; human experiment; Iran; knowledge; normal human; optimism; perception; principal component analysis; responsibility; risk; social capital; social environment; structural equation modeling; sustainable agriculture; thinking; validation process; Climate change,,Article,Final,,Scopus,2-s2.0-85110587589
Floyd C.; Gulavani S.S.; Du J.; Kim A.C.H.; Pappas J.,"Floyd, Carter (57220985391); Gulavani, Susmit S. (57446881700); Du, James (57116876500); Kim, Amy C. H. (57194198504); Pappas, Jason (57446785200)",57220985391; 57446881700; 57116876500; 57194198504; 57446785200,A Tale of Two Cities: COVID-19 and the Emotional Well-Being of Student-Athletes Using Natural Language Processing,2021,Frontiers in Sports and Active Living,3,,710289,,,,7,10.3389/fspor.2021.710289,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124357189&doi=10.3389%2ffspor.2021.710289&partnerID=40&md5=7784da5cd30815da85d77da070644a6c,"Student-athletes at the Division I institutions face a slew of challenges and stressors that can have negative impacts in eliciting different emotional responses during the COVID-19 pandemic. We employed machine-learning-based natural language processing techniques to analyze the user-generated content posted on Twitter of Atlantic Coast Conference (ACC) student-athletes to study changes in their sentiment as it relates to the COVID-19 crisis, major societal events, and policy decisions. Our analysis found that positive sentiment slightly outweighed negative sentiment overall, but that there was a noticeable uptick in negative sentiment in May and June 2020 in conjunction with the Black Lives Matter protests. The most commonly expressed emotions by these athletes were joy, trust, anticipation, and fear, suggesting that they used social media as an outlet to share primarily optimistic sentiments, while still publicly expressing strong negative sentiments like fear and trepidation about the pandemic and other important contemporary events. Athletic administrators, ACC coaches, support staff, and other professionals can use findings like these to guide sound, evidence-based decision-making and to better track and promote the emotional wellness of student-athletes. Copyright © 2021 Floyd, Gulavani, Du, Kim and Pappas.",COVID-19; emotional well-being; machine learning; natural language processing; sentiment analysis; student-athletes,,"Atlantic Coast Conference; Center for Research in Intercollegiate Athletics; University of North Carolina Wilmington, UNCW",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85124357189
Ram Y.; Hall C.M.,"Ram, Yael (43861855100); Hall, C. Michael (55017070000)",43861855100; 55017070000,The tourism industry and the risk of “the year 2038 problem”: Long-term thinking and the illogical cycle of ICT risk management,2022,International Journal of Tourism Research,24,3,,501,514,13,4,10.1002/jtr.2517,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124556849&doi=10.1002%2fjtr.2517&partnerID=40&md5=8586c2cb289fc2024ddafd5fad41d204,"Issues of sustainability, resilience, and risk management are linked to how the tourism industry and researchers respond to future ICT risk, known as “the year 2038 problem” (Y2K38). The tourism industry coped with similar but smaller risk, the Y2K “millennium bug” but lessons have not been learned. The paper presents an account of the lack of preparedness to ICT bugs and concludes that a cycle of ICT risk management does not always lead to policy actions. The work suggests a proactive approach for addressing potential ICT risks and presents the main steps for coping with Y2K38 and potentially other risks. © 2022 John Wiley & Sons Ltd.",proactive policy making; risk management; the year 2038 problem; Y2K; Y2K38,information and communication technology; policy making; risk assessment; sustainability; tourism management,,Article,Final,,Scopus,2-s2.0-85124556849
Chelen J.S.C.; White D.B.; Zaza S.; Perry A.N.; Feifer D.S.; Crawford M.L.; Barnato A.E.,"Chelen, Julia S. C. (57222582972); White, Douglas B. (15054916600); Zaza, Stephanie (6701622275); Perry, Amanda N. (57720753300); Feifer, Deborah S. (57302433400); Crawford, Maia L. (57275100700); Barnato, Amber E. (57196315994)",57222582972; 15054916600; 6701622275; 57720753300; 57302433400; 57275100700; 57196315994,US Ventilator Allocation and Patient Triage Policies in Anticipation of the COVID-19 Surge,2021,Health Security,19,5,,459,467,8,9,10.1089/hs.2020.0166,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117080892&doi=10.1089%2fhs.2020.0166&partnerID=40&md5=007111679785b5dd6be51e86832b104d,"Before the predicted March 2020 surge of COVID-19, US healthcare organizations were charged with developing resource allocation policies. We assessed policy preparedness and substantive triage criteria within existing policies using a cross-sectional survey distributed to public health personnel and healthcare providers between March 23 and April 23, 2020. Personnel and providers from 68 organizations from 34 US states responded. While half of the organizations did not yet have formal allocation policies, all but 4 were in the process of developing policies. Using manual abstraction and natural language processing, we summarize the origins and features of the policies. Most policies included objective triage criteria, specified inapplicable criteria, separated triage and clinical decision making, detailed reassessment plans, offered an appeals process, and addressed palliative care. All but 1 policy referenced a sequential organ failure assessment score as a triage criterion, and 10 policies categorically excluded patients. Six policies were almost identical, tracing their origins to influenza planning. This sample of policies reflects organizational strategies of exemplar-based policy development and the use of objective criteria in triage decisions, either before or instead of clinical judgment, to support ethical distribution of resources. Future guidance is warranted on how to adapt policies across disease type, choose objective criteria, and specify processes that rely on clinical judgments.  © Copyright 2021, Mary Ann Liebert, Inc., publishers 2021.",COVID-19; Epidemic management/response; Ethics; SARS-CoV-2; Triage; Ventilator allocation,"COVID-19; Cross-Sectional Studies; Health Care Rationing; Humans; Policy; Resource Allocation; SARS-CoV-2; Triage; Ventilators, Mechanical; cross-sectional study; emergency health service; health care organization; human; mechanical ventilator; policy; resource allocation","National Institutes of Health-National Heart, Lung, and Blood Institute, (K24HL148314); Presidential Scholars Program of Dartmouth College; National Institutes of Health, NIH, (U19HS024075); National Institutes of Health, NIH; Agency for Healthcare Research and Quality, AHRQ, (1U19HS024075); Agency for Healthcare Research and Quality, AHRQ",Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85117080892
Rioux P.-A.; Chaumon M.; Demers A.; Fitzback-Fortin H.; Kübel S.L.; Lebrun C.; Mendoza-Duran E.; Micillo L.; Racine C.; Thibault N.; Van Wassenhove V.; Grondin S.,"Rioux, Pier-Alexandre (57219778563); Chaumon, Maximilien (15050202300); Demers, Antoine (57939704500); Fitzback-Fortin, Hugo (57940223300); Kübel, Sebastian L. (57205602325); Lebrun, Catherine (57939362700); Mendoza-Duran, Esteban (57219778253); Micillo, Luigi (57224512686); Racine, Charles (57222130351); Thibault, Nicola (57939194000); Van Wassenhove, Virginie (10341465400); Grondin, Simon (7004026519)",57219778563; 15050202300; 57939704500; 57940223300; 57205602325; 57939362700; 57219778253; 57224512686; 57222130351; 57939194000; 10341465400; 7004026519,Psychological Time during the COVID-19 Lockdown: Canadian Data,2022,Timing and Time Perception,167,2,,,,,7,10.1163/22134468-bja10063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140441555&doi=10.1163%2f22134468-bja10063&partnerID=40&md5=4674b9cd85ff0580575d3d5feca5c0b6,"The COVID-19 pandemic and associated measures have affected routines and mental well-being of people around the world. Research also shows distorted time perception during lockdowns which can partially be explained by compromised well-being. The present study investigates Canadians' temporal experience and mental well-being at two periods of national lockdown during the COVID- 19 pandemic (spring 2020: n = 66; beginning of 2021: n = 100). As results indicate, the only difference between these periods on the investigated variables was the strictness of lockdown measures. Our findings show associations between anxiety, depression, confinement indicators, and time perception (future temporal distance, passage of time judgments). Stepwise regression models indicated that depression and strictness of measures predicted the impression that the next week appeared farther away; one's loneliness appraisal was associated with a perceived slower time flow. Our findings give a preliminary idea about time perception and mental well-being in the Canadian lockdowns. © 2022 Brill Academic Publishers. All rights reserved.",Canada; COVID-19; lockdown; time perception,,"Natural Sciences and Engineering Research Council of Canada, NSERC, (RGPIN-2016-05028); Natural Sciences and Engineering Research Council of Canada, NSERC",Article,Final,,Scopus,2-s2.0-85140441555
Cao H.; Zhang H.W.; Yang L.; Li L.; Wang J.Z.; Zada B.; Li M.X.; Liu W.J.; Su T.H.; Zhao Y.,"Cao, Hua (57193340566); Zhang, Hui Wen (57364518500); Yang, Ling (56456775400); Li, Ling (57196179792); Wang, Jun Zhi (57363885600); Zada, Bakht (57364771100); Li, Min Xiao (57364262400); Liu, Wei Jian (57364262500); Su, Ting Hong (57364134800); Zhao, Yu (57364645900)",57193340566; 57364518500; 56456775400; 57196179792; 57363885600; 57364771100; 57364262400; 57364262500; 57364134800; 57364645900,Analysis of the Mediating Effect of Risk Perception on the Relationship Between Time Perception and Mental Health of College Students During the COVID-19 Epidemic,2021,Frontiers in Psychiatry,12,,749379,,,,6,10.3389/fpsyt.2021.749379,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120709944&doi=10.3389%2ffpsyt.2021.749379&partnerID=40&md5=1ce6b8dbc03109bd4072e03bc67e11e2,"Background: COVID-19 has had a wide impact on the mental health of college students. This study aims to explore the relationship between time perception, risk perception, and the mental health of college students during COVID-19 through a questionnaire survey. Subjects: One thousand two hundred and eighteen college students, 449 male and 769 female, who studied online during the COVID-19 epidemic were selected. Methods: Time Perception Scale, Risk Perception Scale, and SCL-90 were used to investigate the relationship using correlation analysis. Results: During the COVID-19 period, mental health problems of college students were widespread, and 65.93% of college students reported moderate to severe mental health problems. The correlation analysis showed that risk perception, time perception, and the mental health of college students were significantly related. Risk perception played a partial mediating role between present enjoyment and mental health, and risk perception played a partial mediating role between future time perception and mental health. Conclusion: In the case of sudden public crises, we should pay close attention to the mental health of college students, adjust their attitude toward the present and the future, and pay attention to their perception of risk so as to improve their mental health level under crisis. Copyright © 2021 Cao, Zhang, Yang, Li, Wang, Zada, Li, Liu, Su and Zhao.",college students; COVID-19; mental health; risk perception; time perception,adult; Article; college student; coronavirus disease 2019; cross-sectional study; e-learning; epidemic; female; hedonism; human; male; mental disease; mental health; psychologic assessment; questionnaire; risk perception; Risk Perception Scale; Symptom Checklist 90; time perception; Time Perception Scale; young adult,"Lanzhou Thirteenth Five-Year Plan Educational Science Planning Project, (LZ2019-0250); Northwest Normal University, NWNU, (2946); Northwest Normal University, NWNU; National Natural Science Foundation of China, NSFC, (31960185); National Natural Science Foundation of China, NSFC",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85120709944
Kumar S.; Sharma R.; Tsunoda T.; Kumarevel T.; Sharma A.,"Kumar, Shiu (55500544000); Sharma, Ronesh (56131220900); Tsunoda, Tatsuhiko (7203020452); Kumarevel, Thirumananseri (6603607479); Sharma, Alok (55482800200)",55500544000; 56131220900; 7203020452; 6603607479; 55482800200,Forecasting the spread of COVID-19 using LSTM network,2021,BMC Bioinformatics,22,,316,,,,29,10.1186/s12859-021-04224-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107576287&doi=10.1186%2fs12859-021-04224-2&partnerID=40&md5=481f1c5ddaa071a91339d51497554c52,"Background: The novel coronavirus (COVID-19) is caused by severe acute respiratory syndrome coronavirus 2, and within a few months, it has become a global pandemic. This forced many affected countries to take stringent measures such as complete lockdown, shutting down businesses and trade, as well as travel restrictions, which has had a tremendous economic impact. Therefore, having knowledge and foresight about how a country might be able to contain the spread of COVID-19 will be of paramount importance to the government, policy makers, business partners and entrepreneurs. To help social and administrative decision making, a model that will be able to forecast when a country might be able to contain the spread of COVID-19 is needed. Results: The results obtained using our long short-term memory (LSTM) network-based model are promising as we validate our prediction model using New Zealand’s data since they have been able to contain the spread of COVID-19 and bring the daily new cases tally to zero. Our proposed forecasting model was able to correctly predict the dates within which New Zealand was able to contain the spread of COVID-19. Similarly, the proposed model has been used to forecast the dates when other countries would be able to contain the spread of COVID-19. Conclusion: The forecasted dates are only a prediction based on the existing situation. However, these forecasted dates can be used to guide actions and make informed decisions that will be practically beneficial in influencing the real future. The current forecasting trend shows that more stringent actions/restrictions need to be implemented for most of the countries as the forecasting model shows they will take over three months before they can possibly contain the spread of COVID-19. © 2021, The Author(s).",COVID-19; End date prediction; Long short-term memory (LSTM); Pandemic,Communicable Disease Control; COVID-19; Forecasting; Humans; New Zealand; Pandemics; SARS-CoV-2; Decision making; Forecasting; Predictive analytics; Administrative decision making; Business partners; Economic impacts; Forecasting modeling; Informed decision; Network-based modeling; Severe acute respiratory syndrome coronavirus; Travel restrictions; communicable disease control; forecasting; human; New Zealand; pandemic; Long short-term memory,"Ministry of Education, Culture, Sports, Science and Technology, MEXT; Japan Society for the Promotion of Science, JSPS, (JP20H03240, JP16H06299, JP17H06307, JP17H06299, 23K20302); Japan Society for the Promotion of Science, JSPS; Japan Science and Technology Agency, JST, (JPMJCR 1412); Japan Science and Technology Agency, JST",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85107576287
da Silva L.B.L.; Alencar M.H.; de Almeida A.T.,"da Silva, Lucas Borges Leal (57204956820); Alencar, Marcelo Hazin (35794993600); de Almeida, Adiel Teixeira (7102580955)",57204956820; 35794993600; 7102580955,A novel spatiotemporal multi-attribute method for assessing flood risks in urban spaces under climate change and demographic scenarios,2022,Sustainable Cities and Society,76,,103501,,,,38,10.1016/j.scs.2021.103501,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118491613&doi=10.1016%2fj.scs.2021.103501&partnerID=40&md5=5dee0c4d2b7b8e8ef69b78e6e69955b3,"The combined effects of global warming and population growth induce policymakers to enhance flood risk management practices in order to reduce substantially the causes of floods and to mitigate their future and multiple impacts simultaneously. This way, this paper puts forward a new multi-attribute and non-stationary decision model for managing flood risks in urban areas under climate demographic changes, which we call the Non-Stationary Multi-Attribute Utility Theory (NSMAUT). Under expected utilities, our model inserts time-dependency into the decision-maker's (DM's) preference statements based on his/her trade-offs regarding psychological distance induced by delayed prospects. The NSMAUT analyzes flood risks under five attributes, linked to environmental, financial, human, mobility, and social concerns of society. By combining climate and demographic scenarios for this century, our findings make use of statistical, graphic, and risk performance measures that increase the DM's perception of risk in order to control and monitor the dynamism of circumstances of risk and thus to facilitate on what he/she should base future decisions on adapting cities for future adverse events arising from flooding. A numerical application in a Brazilian municipality from 2021 – 2100 is used to validate our approach. Moreover, the model can be replicated in other urban contexts. © 2021",climate change; flood risk; MAUT; MCDM/A; nonstationary modeling; population growth,Climate models; Decision theory; Economic and social effects; Flood control; Global warming; Population statistics; Risk assessment; Risk management; Risk perception; Urban growth; Combined effect; Flood risks; MAUT; MCDM/A; Multi-attributes; Multiattribute utility theory; Non-stationary model; Nonstationary; Population growth; Urban spaces; climate change; flood control; flooding; global warming; population growth; risk assessment; spatiotemporal analysis; Floods,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES; Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq",Article,Final,,Scopus,2-s2.0-85118491613
Spellman K.V.; Cost D.; Villano C.P.,"Spellman, Katie V. (55980239700); Cost, Douglas (56888750000); Villano, Christine P. (57279859100)",55980239700; 56888750000; 57279859100,Connecting Community and Citizen Science to Stewardship Action Planning Through Scenarios Storytelling,2021,Frontiers in Ecology and Evolution,9,,695534,,,,7,10.3389/fevo.2021.695534,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116063265&doi=10.3389%2ffevo.2021.695534&partnerID=40&md5=3998fc2a7124482f4723bbb0d83e47eb,"Community and citizen science on climate change-influenced topics offers a way for participants to actively engage in understanding the changes and documenting the impacts. As in broader climate change education, a focus on the negative impacts can often leave participants feeling a sense of powerlessness. In large scale projects where participation is primarily limited to data collection, it is often difficult for volunteers to see how the data can inform decision making that can help create a positive future. In this paper, we propose and test a method of linking community and citizen science engagement to thinking about and planning for the future through scenarios story development using the data collected by the volunteers. We used a youth focused wild berry monitoring program that spanned urban and rural Alaska to test this method across diverse age levels and learning settings. Using qualitative analysis of educator interviews and youth work samples, we found that using a scenario stories development mini-workshop allowed the youth to use their own data and the data from other sites to imagine the future and possible actions to sustain berry resources for their communities. This process allowed youth to exercise key cognitive skills for sustainability, including systems thinking, futures thinking, and strategic thinking. The analysis suggested that youth would benefit from further practicing the skill of envisioning oneself as an agent of change in the environment. Educators valued working with lead scientists on the project and the experience for youth to participate in the interdisciplinary program. They also identified the combination of the berry data collection, analysis and scenarios stories activities as a teaching practice that allowed the youth to situate their citizen science participation in a personal, local and cultural context. The majority of the youth groups pursued some level of stewardship action following the activity. The most common actions included collecting additional years of berry data, communicating results to a broader community, and joining other community and citizen science projects. A few groups actually pursued solutions illustrated in the scenario stories. The pairing of community and citizen science with scenario stories development provides a promising method to connect data to action for a sustainable and resilient future. © Copyright © 2021 Spellman, Cost and Villano.",action science; climate change learning; environmental education; futures thinking; resilience thinking; scenarios development; youth,,"National Science Foundation Advancing Informal Science Learning; , (1713156)",Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85116063265
Begemann A.; Giessen L.; Roitsch D.; Roux J.-L.; Lovrić M.; Azevedo-Ramos C.; Boerner J.; Beeko C.; Cashore B.; Cerutti P.O.; de Jong W.; Fosse L.J.; Hinrichs A.; Humphreys D.; Pülzl H.; Santamaria C.; Sotirov M.; Wunder S.; Winkel G.,"Begemann, A. (57224113922); Giessen, L. (26428061200); Roitsch, D. (57224103357); Roux, J.-L. (57218516476); Lovrić, M. (26655868700); Azevedo-Ramos, C. (6603104809); Boerner, J. (57224107863); Beeko, C. (36544990500); Cashore, B. (57202992701); Cerutti, P.O. (25225195300); de Jong, W. (7201947465); Fosse, L.J. (57224109423); Hinrichs, A. (57224106838); Humphreys, D. (7103124098); Pülzl, H. (24832318900); Santamaria, C. (8603818200); Sotirov, M. (36188782600); Wunder, S. (7003871913); Winkel, G. (26634538900)",57224113922; 26428061200; 57224103357; 57218516476; 26655868700; 6603104809; 57224107863; 36544990500; 57202992701; 25225195300; 7201947465; 57224109423; 57224106838; 7103124098; 24832318900; 8603818200; 36188782600; 7003871913; 26634538900,Quo vadis global forest governance? A transdisciplinary delphi study,2021,Environmental Science and Policy,123,,,131,141,10,24,10.1016/j.envsci.2021.03.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106968134&doi=10.1016%2fj.envsci.2021.03.011&partnerID=40&md5=b4235276dc1024695700bf37da71d4a1,"Deforestation and forest degradation remain huge global environmental challenges. Over the last decades, various forest governance initiatives and institutions have evolved in global response to interlinked topics such as climate change mitigation, biodiversity conservation, indigenous rights, and trade impacts – accompanied by various levels of academic attention. Using a Delphi methodology that draws on both policy and academic insights, we assess the currently perceived state of play in global forest governance and identify possible future directions. Results indicate that state actors are seen to be key in providing supportive regulatory frameworks, yet interviewees do not believe these will be established at the global scale. Rather, respondents point to issue-specific, regional and inter-regional coalitions of the willing, involving the private sector, to innovate global forest governance. Linking forest issues with high politics may hold promise, as demonstrated by initiatives regarding illegal logging and timber trade. Confident rule-setting in support of the public good as well as responsible investments are seen as further avenues. New forest governance “hypes”, if used strategically, can provide leverage points and resources to ensure sustainability effects on the ground. At the same time, informal markets are often crucial for governance outcomes and need consideration. As such, clarifying tenure in sovereignty-sensitive ways is important, as are innovative ways for inclusive “glocal” decision-making. Lastly, new technologies, big data and citizens’ capacities are identified as potent innovation opportunities, for making global dependencies between consumption, production and deforestation visible and holding players accountable across the value chains. © 2021 Elsevier Ltd",Deforestation; Delphi assessment; Foresight; Forest degradation; Future; Global forest policy; High-level expert panel; International forest regime,adult; article; big data; decision making; Delphi study; human; illegal timber; investment; politics; private sector,"Deutsche Forschungsgemeinschaft, DFG; Bundesministerium für Ernährung und Landwirtschaft, BMEL",Article,Final,,Scopus,2-s2.0-85106968134
Vera J.R.R.; Quisocala T.L.; de Ontaneda M.R.A.B.,"Vera, Juana Rosa Ramos (57961604000); Quisocala, Teodocio Lupa (57960529200); de Ontaneda, Maria Renee Alfaro Bardales (57961169300)",57961604000; 57960529200; 57961169300,Globalization and Strategic Planning in the Public Sector: Reflections in a Risk Scenario; [Globalización y planificación estratégica en el sector público: Reflexiones en un escenario de riesgo],2022,Revista de Filosofia (Venezuela),39,,,458,480,22,0,10.5281/zenodo.7311833,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141731111&doi=10.5281%2fzenodo.7311833&partnerID=40&md5=40d7819f37101c237ed4bca31fb02780,"The objective of the research article was to analyze how the changing environments that affect strategic planning in the public sector, given that nowadays society and the external scenario are in an accelerated process of change and in an environment of uncertainty. The methodology used was qualitative with systematic documentary review; considering the breadth and complexity of the research work, several specialized documents have been reviewed to perform a correct interpretation and organization of the information and data on changing environments. The specialized literature in the area is diverse and has allowed the construction of a strategic thinking that guides organizations and territories to adapt, adapt and even anticipate changing environments. It was concluded that globalization has a tendency of unequal and excluding character; there is a scenario of volatility, uncertainty, complexity and ambiguity (VUCA) that requires strategic planning to ensure or facilitate rapid decision-making in the face of new threats and opportunities for adaptation and anticipation; such as climate change and COVID-19, have their origin in global effects and are a threat to the planet: likewise the monitoring and evaluation phase should be one of the fundamental functions of strategic planning and a valuable and effective tool for decision making ensuring an efficient level of compliance with policies and strategic plans. © 2022, Universidad del Zulia. All rights reserved.",environment; globalization; globalization; public sector; risks; strategic planning,,,Article,Final,,Scopus,2-s2.0-85141731111
